u,v,key,geometry
3980721951,3980721955,0,"LINESTRING (-2.581961 51.464304, -2.581927 51.464334, -2.581908 51.46437, -2.581908 51.464388, -2.581916 51.464406, -2.58195 51.464432, -2.581987 51.464445, -2.582023 51.464453, -2.582087 51.464454)"
3980721933,3980721932,0,"LINESTRING (-2.582304 51.4643, -2.582054 51.464302)"
3980721933,13191500416,0,"LINESTRING (-2.582304 51.4643, -2.58236 51.464302)"
3980721933,3980721955,0,"LINESTRING (-2.582304 51.4643, -2.582296 51.464328, -2.582276 51.464373, -2.582249 51.4644, -2.582211 51.464424, -2.58214 51.464446, -2.582087 51.464454)"
3980721933,3980721930,0,"LINESTRING (-2.582304 51.4643, -2.582296 51.464267, -2.582276 51.464247, -2.582233 51.464231, -2.582184 51.464223, -2.582112 51.464232, -2.582056 51.464248)"
835468076,3329862694,0,"LINESTRING (-2.581211 51.46543, -2.581484 51.465208)"
835468076,3329862698,0,"LINESTRING (-2.581211 51.46543, -2.581094 51.465528)"
835468076,21591973,0,"LINESTRING (-2.581211 51.46543, -2.581108 51.465395, -2.581035 51.465389, -2.580839 51.465448, -2.580457 51.465533, -2.580165 51.465573, -2.579991 51.465597, -2.579969 51.465597, -2.579948 51.465594, -2.579934 51.465588, -2.579922 51.465581, -2.579906 51.465569, -2.581512 51.464371)"
5846875198,3329862694,0,"LINESTRING (-2.581502 51.465424, -2.581484 51.465208)"
5846875198,5846875214,0,"LINESTRING (-2.581502 51.465424, -2.581487 51.465427, -2.581475 51.465432, -2.581466 51.46544, -2.581462 51.465449, -2.581462 51.465458)"
5846875198,5846875210,0,"LINESTRING (-2.581502 51.465424, -2.581517 51.465425, -2.581531 51.465428, -2.581542 51.465435, -2.58155 51.465443)"
104833,19875368,0,"LINESTRING (-2.586649 51.464346, -2.587594 51.463911)"
104833,19875356,0,"LINESTRING (-2.586649 51.464346, -2.587352 51.464891)"
104833,104808,0,"LINESTRING (-2.586649 51.464346, -2.586274 51.464075, -2.586081 51.463919)"
19875367,21591966,0,"LINESTRING (-2.587099 51.463428, -2.5864 51.462743)"
19875367,19875368,0,"LINESTRING (-2.587099 51.463428, -2.587594 51.463911)"
19875367,104808,0,"LINESTRING (-2.587099 51.463428, -2.586338 51.463796, -2.586081 51.463919)"
19875367,293907316,0,"LINESTRING (-2.587099 51.463428, -2.587547 51.463226, -2.588455 51.462815)"
835468051,283348057,0,"LINESTRING (-2.58592 51.464615, -2.585416 51.46423)"
835468051,835468050,0,"LINESTRING (-2.58592 51.464615, -2.585847 51.464652, -2.585259 51.464935)"
