u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,speed_kph,travel_time,geometry,lit,surface,ref,width,tunnel,junction,access,service,bridge,distance,lighting,greenery,pollution,surface_quality
174022412,34917448,0,148809162,secondary,2,30 mph,Heavitree Road,False,True,71.31598893936223,48.2802,5.317657345696663,"LINESTRING (-3.521768 50.7249317, -3.5213833 50.7248194, -3.5209036 50.724705, -3.5208335 50.724685)",yes,asphalt,B3183,,,,,,,71.31598893936223,0.2,0.3,0.7,0.9
5784302000,6210838922,0,42737096,secondary,2,30 mph,Western Way,False,True,15.129127738572008,48.2802,1.128099300724919,"LINESTRING (-3.5222595 50.7254059, -3.5222445 50.7255031, -3.5222488 50.7255414)",yes,asphalt,B3212,,,,,,,15.129127738572008,0.2,0.3,0.7,0.9
5784302000,21761609,0,655753851,secondary,2,30 mph,,False,False,15.966584098278167,48.2802,1.190544006731567,"LINESTRING (-3.5222595 50.7254059, -3.522241 50.725386, -3.5222165 50.7253265, -3.5222055 50.7252679)",yes,asphalt,B3183,,,roundabout,,,,15.966584098278167,0.2,0.3,0.7,0.9
5784302000,359237293,0,655753852,secondary,2,30 mph,,False,True,19.66343150397694,48.2802,1.4661984294662613,"LINESTRING (-3.5222595 50.7254059, -3.5222913 50.7254403, -3.5223685 50.7254883, -3.5224632 50.7255214)",yes,asphalt,B3183,,,roundabout,,,,19.66343150397694,0.2,0.3,0.7,0.9
5784256589,174022412,0,16811334,secondary,2,30 mph,Heavitree Road,False,True,48.54440140138155,48.2802,3.61970010573638,"LINESTRING (-3.5224237 50.7250634, -3.5222626 50.7250448, -3.521768 50.7249317)",yes,asphalt,B3183,,,,,,,48.54440140138155,0.2,0.3,0.7,0.9
5784256589,5784256588,0,655753858,secondary,2,30 mph,,False,False,10.60005676314186,48.2802,0.7903903535468099,"LINESTRING (-3.5224237 50.7250634, -3.522525 50.7250408, -3.522568 50.7250383)",yes,asphalt,B3183,,,roundabout,,,,10.60005676314186,0.2,0.3,0.7,0.9
5784256589,21761609,0,655753859,secondary,2,30 mph,,False,True,28.4298770178994,48.2802,2.1198660582275517,"LINESTRING (-3.5224237 50.7250634, -3.5223318 50.725105, -3.5222551 50.7251691, -3.5222142 50.7252452, -3.5222055 50.7252679)",yes,asphalt,B3183,,,roundabout,,,,28.4298770178994,0.2,0.3,0.7,0.9
34917448,9797141046,0,7981300,unclassified,1,20 mph,Russell Street,False,False,5.888300640961886,32.1868,0.6585893070284338,"LINESTRING (-3.5208335 50.724685, -3.5208042 50.7247346)",yes,asphalt,,,,,,,,5.888300640961886,0.2,0.4,0.3,0.9
34917448,5666896496,0,148809163,residential,,20 mph,Denmark Road,False,True,8.386493483959871,32.1868,0.9380049132643051,"LINESTRING (-3.5208335 50.724685, -3.5208728 50.7246138)",yes,asphalt,,,,,,,,8.386493483959871,0.2,0.6,0.4,0.9
34917448,59741722,0,149551332,secondary,2,30 mph,Heavitree Road,False,True,66.27106904509864,48.2802,4.941484263991348,"LINESTRING (-3.5208335 50.724685, -3.5199663 50.724453)",yes,asphalt,B3183,,,,,,,66.27106904509864,0.2,0.3,0.7,0.9
34917448,174022412,0,148809162,secondary,2,30 mph,Heavitree Road,False,False,71.31598893936223,48.2802,5.317657345696663,"LINESTRING (-3.5208335 50.724685, -3.5209036 50.724705, -3.5213833 50.7248194, -3.521768 50.7249317)",yes,asphalt,B3183,,,,,,,71.31598893936223,0.2,0.3,0.7,0.9
6210838922,174022414,0,42737096,secondary,2,30 mph,Western Way,False,True,12.03115038234043,48.2802,0.8970994605744289,"LINESTRING (-3.5222488 50.7255414, -3.5222153 50.7256475)",yes,asphalt,B3212,,,,,,,12.03115038234043,0.2,0.3,0.7,0.9
6210838922,6210838921,0,663556671,footway,,,,False,False,9.327915546753532,34.375197396878484,0.9768815457438528,"LINESTRING (-3.5222488 50.7255414, -3.5223592 50.7255878)",yes,asphalt,,,,,,,,9.327915546753532,0.2,0.9,0.1,0.9
6210838922,9797141055,0,663556671,footway,,,,False,True,5.88720883338438,34.375197396878484,0.6165477845985645,"LINESTRING (-3.5222488 50.7255414, -3.5221723 50.72552)",yes,asphalt,,,,,,,,5.88720883338438,0.2,0.9,0.1,0.9
6210838922,5784302000,0,42737096,secondary,2,30 mph,Western Way,False,False,15.129127738572008,48.2802,1.128099300724919,"LINESTRING (-3.5222488 50.7255414, -3.5222445 50.7255031, -3.5222595 50.7254059)",yes,asphalt,B3212,,,,,,,15.129127738572008,0.2,0.3,0.7,0.9
359237293,6210838921,0,32023547,secondary,,30 mph,Western Way,False,False,10.39736504625717,48.2802,0.7752767007287834,"LINESTRING (-3.5224632 50.7255214, -3.5223592 50.7255878)",yes,asphalt,B3212,,,,,,,10.39736504625717,0.2,0.3,0.7,0.9
359237293,5784302000,0,655753852,secondary,2,30 mph,,False,False,19.66343150397694,48.2802,1.4661984294662613,"LINESTRING (-3.5224632 50.7255214, -3.5223685 50.7254883, -3.5222913 50.7254403, -3.5222595 50.7254059)",yes,asphalt,B3183,,,roundabout,,,,19.66343150397694,0.2,0.3,0.7,0.9
