osmid,highway,maxspeed,name,oneway,reversed,length,speed_kph,travel_time,geometry,lanes,access,tunnel,ref,junction,service,bridge,access_score,score_band,edge_colour
471285351,primary,20 mph,Stokes Croft,False,True,6.38,32.1868,0.713,"LINESTRING (-2.5903093 51.4620585, -2.5903385 51.4620041)",,,,A38,,,,0.1013956111258436,0.0,#a50026
202761559,primary,20 mph,Stokes Croft,False,True,15.91,32.1868,1.779,"LINESTRING (-2.5903093 51.4620585, -2.5902389 51.4621124, -2.5901855 51.462178)",,,,A38,,,,0.10154294215989514,0.0,#a50026
471285354,primary,20 mph,Stokes Croft,False,False,15.37,32.1868,1.719,"LINESTRING (-2.5903093 51.4620585, -2.5902985 51.4621212, -2.5902622 51.4621929)",,,,A38,,,,0.1274263902710315,0.0,#a50026
711114417,tertiary,20 mph,Lower Castle Street,False,False,10.13,32.1868,1.133,"LINESTRING (-2.585816 51.4569856, -2.5858771 51.4570684)",3,,,,,,,0.005224139830285467,0.9,#199750
"[711114417, 22634258]",tertiary,20 mph,Lower Castle Street,False,True,30.8,32.1868,3.445,"LINESTRING (-2.585816 51.4569856, -2.5857752 51.4569297, -2.5857456 51.4568859, -2.585655 51.4567441, -2.5856446 51.4567301)",3,,,,,,,0.005150819986598801,0.9,#199750
"[1360635499, 1360635500]",footway,,,False,False,17.47,32.18679999999999,1.954,"LINESTRING (-2.585816 51.4569856, -2.5857647 51.4570137, -2.5857407 51.4570218, -2.5857914 51.4571141)",,,,,,,,0.005446816125260109,0.9,#199750
"[1360635498, 1360635499]",footway,,,False,True,7.93,32.18679999999999,0.887,"LINESTRING (-2.585816 51.4569856, -2.5858788 51.4569511, -2.5859043 51.4569404)",,,,,,,,0.005150819986598801,0.9,#199750
"[711114418, 22634693]",unclassified,20 mph,Penn Street,False,True,39.01,32.1868,4.363,"LINESTRING (-2.585966 51.4571757, -2.5859803 51.4572012, -2.5860016 51.457239, -2.5861396 51.457434, -2.5861662 51.4574662, -2.5861884 51.4574977)","['3', '1']",,,,,,,0.005399174299171604,0.9,#199750
"[1360635504, 1360635505]",footway,,,False,False,20.1,32.18679999999999,2.248,"LINESTRING (-2.585966 51.4571757, -2.5858877 51.4571947, -2.5858761 51.4571978, -2.5858432 51.4572068, -2.5858024 51.4571337, -2.5857914 51.4571141)",,,,,,,,0.005548369154579742,0.9,#199750
"[1360635504, 1360635502, 1360635503]",footway,,,False,True,21.74,32.18679999999999,2.432,"LINESTRING (-2.585966 51.4571757, -2.5859946 51.4571688, -2.586007 51.4571657, -2.5860107 51.4571344, -2.5860309 51.4571054, -2.5860629 51.4570818, -2.5860899 51.4570703, -2.5860758 51.4570529, -2.5860511 51.4570222)",,,,,,,,0.005285420683980173,0.9,#199750
"[486880427, 486880428, 486880429]",footway,,,False,True,17.59,32.18679999999999,1.967,"LINESTRING (-2.5884995 51.463667, -2.5884539 51.4636308, -2.5883772 51.4635699, -2.5883427 51.4635426)",,,building_passage,,,,,0.012378640144479421,0.7,#a5d86a
26792514,residential,20 mph,Hepburn Road,False,True,66.08,32.1868,7.391,"LINESTRING (-2.5883427 51.4635426, -2.5875944 51.4639111)",,,,,,,,0.010807438018774158,0.7,#a5d86a
"[26792514, 94255692]","['service', 'residential']",20 mph,Hepburn Road,False,False,119.77,32.1868,13.395,"LINESTRING (-2.5883427 51.4635426, -2.5889975 51.4632201, -2.5890837 51.463187, -2.5891775 51.4631827, -2.5898705 51.4632387)",,,,,,,,0.3927724823115031,0.0,#a50026
"[486880427, 486880428, 486880429]",footway,,,False,False,17.59,32.18679999999999,1.967,"LINESTRING (-2.5883427 51.4635426, -2.5883772 51.4635699, -2.5884539 51.4636308, -2.5884995 51.463667)",,,building_passage,,,,,0.012378640144479421,0.7,#a5d86a
"[487056552, 487056550, 487056551]",service,,,False,True,23.78,32.1868,2.659,"LINESTRING (-2.5886994 51.4629685, -2.5886709 51.4629433, -2.5885719 51.4628542, -2.5885015 51.4627938)",,,building_passage,,,,,0.016008993908106027,0.6,#d9ef8b
193994529,unclassified,20 mph,City Road,False,False,4.0,32.1868,0.448,"LINESTRING (-2.5885015 51.4627938, -2.5884548 51.462815)",2,,,,,,,0.012219051130221403,0.7,#a5d86a
193994529,unclassified,20 mph,City Road,False,True,136.04,32.1868,15.216,"LINESTRING (-2.5885015 51.4627938, -2.588686 51.4627107, -2.589522 51.4623344, -2.5898146 51.4622071, -2.5901013 51.4620844)",2,,,,,,,0.045193656502895765,0.0,#a50026
"[487056552, 487056550, 487056551]",service,,,False,False,23.78,32.1868,2.659,"LINESTRING (-2.5885015 51.4627938, -2.5885719 51.4628542, -2.5886709 51.4629433, -2.5886994 51.4629685)",,,building_passage,,,,,0.016008993908106027,0.6,#d9ef8b
496181296,footway,,,False,True,10.02,32.18679999999999,1.121,"LINESTRING (-2.5792643 51.4574648, -2.579302 51.4575518)",,,,,,,,0.02023368307784798,0.6,#d9ef8b
531217986,residential,20 mph,Bragg's Lane,False,True,27.18,32.1868,3.04,"LINESTRING (-2.5792643 51.4574648, -2.5794965 51.4574187, -2.5796369 51.4573885)",,,,,,,,0.02026727397720111,0.6,#d9ef8b
496181296,footway,,,False,False,10.02,32.18679999999999,1.121,"LINESTRING (-2.579302 51.4575518, -2.5792643 51.4574648)",,,,,,,,0.02023368307784798,0.6,#d9ef8b
496181296,footway,,,False,True,6.28,32.18679999999999,0.702,"LINESTRING (-2.579302 51.4575518, -2.5793778 51.4575827)",,,,,,,,0.016822023995636867,0.6,#d9ef8b
496181296,footway,,,False,False,6.28,32.18679999999999,0.702,"LINESTRING (-2.5793778 51.4575827, -2.579302 51.4575518)",,,,,,,,0.016822023995636867,0.6,#d9ef8b
496181298,service,5 mph,,False,True,31.05,32.1868,3.472,"LINESTRING (-2.5794241 51.4571428, -2.5796369 51.4573885)",,,,,,,,0.046244323529002665,0.0,#a50026
69892652,service,,Dale Street,False,True,21.55,32.1868,2.41,"LINESTRING (-2.5826734 51.4596741, -2.5827866 51.4597806, -2.5828043 51.459804, -2.5828141 51.4598238, -2.5828171 51.4598432)",1,,,,,,,0.007742716229686298,0.8,#66bd63
518932210,service,,,False,False,71.08,32.1868,7.95,"LINESTRING (-2.5826734 51.4596741, -2.5819715 51.4599588, -2.5819331 51.4599854, -2.5818425 51.4600443)",,,,,,,,0.00832814351956967,0.8,#66bd63
1204048168,service,,Dale Street,False,False,30.61,32.1868,3.424,"LINESTRING (-2.5826734 51.4596741, -2.582563 51.4595685, -2.5825315 51.4595417, -2.582512 51.4595294, -2.5824892 51.4595174, -2.5824617 51.4595066, -2.5824414 51.4595016, -2.5824171 51.4594977, -2.5823921 51.4594966, -2.5823682 51.4594989)",2,,,,,,,0.008549855997352319,0.8,#66bd63
112746818,footway,,River Street,False,False,35.51,32.18679999999999,3.972,"LINESTRING (-2.5822404 51.4586665, -2.5826032 51.4584409)",,,,,,,,0.03448578547393992,0.3,#fdad60
112746818,footway,,River Street,False,True,34.81,32.18679999999999,3.894,"LINESTRING (-2.5822404 51.4586665, -2.5818643 51.4588741)",,,,,,,,0.016468070997086207,0.6,#d9ef8b
617239006,footway,,,False,False,20.07,32.18679999999999,2.244,"LINESTRING (-2.5822404 51.4586665, -2.5820473 51.458532)",,,,,,,,0.016468070997086207,0.6,#d9ef8b
24239164,unclassified,,River Street,False,False,5.13,32.33444587155963,0.571,"LINESTRING (-2.5820473 51.458532, -2.5819934 51.4585636)",,,,,,,,0.014562623321765429,0.7,#a5d86a
617239006,footway,,,False,True,20.07,32.18679999999999,2.244,"LINESTRING (-2.5820473 51.458532, -2.5822404 51.4586665)",,,,,,,,0.016468070997086207,0.6,#d9ef8b
24239164,unclassified,,River Street,False,True,32.77,32.33444587155963,3.649,"LINESTRING (-2.5820473 51.458532, -2.5820833 51.4585166, -2.5824054 51.4583716, -2.5824286 51.4583579)",,,,,,,,0.024072348849216767,0.5,#feffbe
24239164,unclassified,,River Street,False,False,32.77,32.33444587155963,3.649,"LINESTRING (-2.5824286 51.4583579, -2.5824054 51.4583716, -2.5820833 51.4585166, -2.5820473 51.458532)",,,,,,,,0.024072348849216767,0.5,#feffbe
518932240,footway,,,False,False,15.23,32.18679999999999,1.703,"LINESTRING (-2.5824286 51.4583579, -2.5825106 51.4583937, -2.5826032 51.4584409)",,,,,,,,0.03448578547393992,0.3,#fdad60
518932240,footway,,,False,True,17.08,32.18679999999999,1.91,"LINESTRING (-2.5824286 51.4583579, -2.5822644 51.4582907, -2.5822237 51.4582726)",,,,,,,,0.024072348849216767,0.5,#feffbe
112746818,footway,,River Street,False,True,35.51,32.18679999999999,3.972,"LINESTRING (-2.5826032 51.4584409, -2.5822404 51.4586665)",,,,,,,,0.03448578547393992,0.3,#fdad60
518932240,footway,,,False,False,29.81,32.18679999999999,3.334,"LINESTRING (-2.5826032 51.4584409, -2.582697 51.4584902, -2.5827768 51.4584493, -2.582941 51.4583737)",,,,,,,,0.14118662107669044,0.0,#a50026
518932240,footway,,,False,True,15.23,32.18679999999999,1.703,"LINESTRING (-2.5826032 51.4584409, -2.5825106 51.4583937, -2.5824286 51.4583579)",,,,,,,,0.03448578547393992,0.3,#fdad60
40554581,footway,,,False,True,8.82,32.18679999999999,0.987,"LINESTRING (-2.5848111 51.4592591, -2.5846996 51.4592974)",,,,,,,,0.007591170169262338,0.8,#66bd63
