y,x,street_count,highway,ref,junction,railway,geometry
51.4551531,-2.6036209,3,,,,,POINT (-2.6036209 51.4551531)
51.4543815,-2.6026238,3,,,,,POINT (-2.6026238 51.4543815)
51.4576576,-2.6090601,3,,,,,POINT (-2.6090601 51.4576576)
51.4583249,-2.6089,3,,,,,POINT (-2.6089 51.4583249)
51.460386,-2.6086217,3,,,,,POINT (-2.6086217 51.460386)
51.4617614,-2.6086003,3,,,,,POINT (-2.6086003 51.4617614)
51.4624759,-2.6088535,4,,,,,POINT (-2.6088535 51.4624759)
51.4636003,-2.6092901,3,,,,,POINT (-2.6092901 51.4636003)
51.4645025,-2.6096534,3,,,,,POINT (-2.6096534 51.4645025)
51.4661006,-2.6110857,3,,,,,POINT (-2.6110857 51.4661006)
51.4676443,-2.6125974,3,,,,,POINT (-2.6125974 51.4676443)
51.4694974,-2.6143454,3,,,,,POINT (-2.6143454 51.4694974)
51.470294,-2.6150036,3,,,,,POINT (-2.6150036 51.470294)
51.4528407,-2.5860262,3,,,,,POINT (-2.5860262 51.4528407)
51.4566339,-2.5622744,3,,,,,POINT (-2.5622744 51.4566339)
51.4578757,-2.5631192,3,,,,,POINT (-2.5631192 51.4578757)
51.4591279,-2.5553916,3,,,,,POINT (-2.5553916 51.4591279)
51.459427,-2.5537932,3,,,,,POINT (-2.5537932 51.459427)
51.4595387,-2.5495804,3,,,,,POINT (-2.5495804 51.4595387)
51.4594809,-2.5490291,3,,,,,POINT (-2.5490291 51.4594809)
51.4594497,-2.5482777,3,,,,,POINT (-2.5482777 51.4594497)
51.4596325,-2.5473402,3,,,,,POINT (-2.5473402 51.4596325)
51.4597976,-2.5467243,3,,,,,POINT (-2.5467243 51.4597976)
51.459892,-2.5463084,3,crossing,,,,POINT (-2.5463084 51.459892)
51.4601104,-2.5446232,3,,,,,POINT (-2.5446232 51.4601104)
51.4603261,-2.5435526,3,,,,,POINT (-2.5435526 51.4603261)
51.4604894,-2.5431215,3,,,,,POINT (-2.5431215 51.4604894)
51.4606279,-2.5427381,3,,,,,POINT (-2.5427381 51.4606279)
51.4612535,-2.5386583,3,,,,,POINT (-2.5386583 51.4612535)
51.4614732,-2.5356573,3,,,,,POINT (-2.5356573 51.4614732)
51.4610769,-2.5329961,3,,,,,POINT (-2.5329961 51.4610769)
51.4610207,-2.532146,3,,,,,POINT (-2.532146 51.4610207)
51.460952,-2.5306526,3,,,,,POINT (-2.5306526 51.460952)
51.4611046,-2.5288123,3,,,,,POINT (-2.5288123 51.4611046)
51.4616417,-2.5269957,3,,,,,POINT (-2.5269957 51.4616417)
51.4618339,-2.5262109,3,,,,,POINT (-2.5262109 51.4618339)
51.4632408,-2.5146716,3,,,,,POINT (-2.5146716 51.4632408)
51.4463211,-2.5610296,3,,,,,POINT (-2.5610296 51.4463211)
51.446466,-2.5609615,3,,,,,POINT (-2.5609615 51.446466)
51.4465717,-2.5604213,3,,,,,POINT (-2.5604213 51.4465717)
51.4463676,-2.5601595,3,,,,,POINT (-2.5601595 51.4463676)
51.4460828,-2.5608098,3,,,,,POINT (-2.5608098 51.4460828)
51.4444272,-2.5592258,3,,,,,POINT (-2.5592258 51.4444272)
51.4447974,-2.5597027,3,,,,,POINT (-2.5597027 51.4447974)
51.4449776,-2.5591045,3,,,,,POINT (-2.5591045 51.4449776)
51.4448005,-2.5588326,3,,,,,POINT (-2.5588326 51.4448005)
51.4428059,-2.5689117,3,,,,,POINT (-2.5689117 51.4428059)
51.4424302,-2.5645937,3,,,,,POINT (-2.5645937 51.4424302)
51.4353576,-2.5526942,3,,,,,POINT (-2.5526942 51.4353576)
51.4356603,-2.553229,3,,,,,POINT (-2.553229 51.4356603)
51.441486,-2.5597637,4,crossing,,,,POINT (-2.5597637 51.441486)
51.4409535,-2.5597067,4,,,,,POINT (-2.5597067 51.4409535)
