,u,v,key,distance,lighting,greenery,pollution,surface_quality
184,6481238337,6481238325,0,65.6839365677214,0.2,0.9,0.1,0.3
185,6481238337,6481238332,0,81.17342200151238,0.2,0.9,0.1,0.3
186,5919449207,4661094416,0,39.008332125272155,0.2,0.4,0.3,0.3
187,5919449207,5919449224,0,90.34202585431444,0.2,0.4,0.3,0.3
188,5919449207,5919449209,0,49.62359201543493,0.2,0.4,0.3,0.3
189,5919449207,5919449198,0,72.17343690813831,0.2,0.4,0.3,0.3
190,5919449221,5919449224,0,101.263987808361,0.2,0.9,0.1,0.3
191,5919449221,11786838687,0,75.41909231987194,0.2,0.4,0.3,0.3
192,5919449221,5919449220,0,51.678776326092034,0.2,0.9,0.1,0.3
193,5919449206,2043096366,0,5.901787843271464,0.8,0.4,0.3,0.3
194,5919449206,300025247,0,47.34687323662149,0.8,0.4,0.3,0.3
195,5919449206,5919449201,0,160.0654526892594,0.2,0.4,0.3,0.3
196,5794635161,2043096366,0,107.73597228563449,0.8,0.4,0.3,0.3
197,5794635161,993186001,0,22.849062703210414,0.8,0.4,0.3,0.1
198,5794635161,5794635164,0,88.683650733622,0.8,0.4,0.3,0.1
199,5919449192,5919449201,0,14.37458214786101,0.2,0.4,0.3,0.3
200,5919449192,6481238337,0,21.56052820097649,0.2,0.4,0.3,0.3
201,5919449192,5919449198,0,82.13121978415703,0.2,0.4,0.3,0.3
202,6481238325,3842753611,0,10.56746838522179,0.2,0.4,0.3,0.3
203,6481238325,6481238332,0,29.998027863015295,0.2,0.9,0.1,0.3
204,6481238325,6481238337,0,65.6839365677214,0.2,0.9,0.1,0.3
205,6481238332,6481238337,0,81.17342200151238,0.2,0.9,0.1,0.3
206,6481238332,6481238325,0,29.998027863015295,0.2,0.9,0.1,0.3
207,6481238332,826736676,0,31.826211847172342,0.8,0.4,0.3,0.3
208,104858,1382113262,0,91.60030943138374,0.2,0.4,0.3,0.1
209,1382113262,9809981567,0,5.857361000670226,0.8,0.4,0.3,0.1
210,1382113262,435846358,0,33.91974955154288,0.8,0.4,0.3,0.1
211,1382113262,104858,0,91.60030943138374,0.2,0.4,0.3,0.1
212,9809981567,247834447,0,4.692471994878426,0.8,0.4,0.3,0.1
213,9809981567,1382113262,0,5.857361000670226,0.8,0.4,0.3,0.1
214,9809981567,1382252976,0,79.50532970764482,0.8,0.4,0.3,0.3
215,435846358,1382113262,0,33.91974955154288,0.8,0.4,0.3,0.1
216,435846358,2045184023,0,23.889674402762864,0.8,0.4,0.3,0.1
217,435846358,2627428303,0,88.54265857720037,0.2,0.9,0.1,0.3
218,104859,365559371,0,12.810913047219312,0.2,0.4,0.3,0.1
219,104859,17406787,0,74.5173629515327,0.2,0.4,0.3,0.1
220,104859,242578487,0,18.021712442471856,0.2,0.4,0.3,0.1
221,365559371,13288882110,0,4.018376207415736,0.2,0.9,0.1,0.1
222,365559371,104859,0,12.810913047219312,0.2,0.4,0.3,0.1
223,365559371,13288882109,0,7.042714221051232,0.2,0.4,0.3,0.1
224,17406787,242756955,0,23.31400221684916,0.2,0.4,0.3,0.1
225,17406787,12620942897,0,22.460092791094837,0.2,0.4,0.3,0.1
226,17406787,104859,0,74.51736295153272,0.2,0.4,0.3,0.1
227,242578487,13288882110,0,10.967330952959221,0.2,0.9,0.1,0.1
228,242578487,26153261,0,35.55844585471966,0.2,0.4,0.3,0.1
229,242578487,104859,0,18.021712442471856,0.2,0.4,0.3,0.1
230,13288882110,242578487,0,10.967330952959221,0.2,0.9,0.1,0.1
231,13288882110,365559371,0,4.018376207415736,0.2,0.9,0.1,0.1
232,13288882109,12806902198,0,24.638218401064258,0.2,0.4,0.3,0.3
233,13288882109,365559371,0,7.042714221051232,0.2,0.4,0.3,0.1
234,242756955,2043096348,0,7.15325142079685,0.2,0.9,0.1,0.3
235,242756955,247834407,0,29.364653898601645,0.8,0.4,0.3,0.3
236,242756955,17406787,0,23.31400221684916,0.2,0.4,0.3,0.1
237,12620942897,12620942896,0,3.947029120055624,0.2,0.9,0.1,0.1
238,12620942897,17406787,0,22.460092791094837,0.2,0.4,0.3,0.1
239,26153261,242578487,0,35.55844585471966,0.2,0.4,0.3,0.1
240,216601,3893231913,0,5.33705368600559,0.2,0.3,0.7,0.1
241,3893231913,216601,0,5.33705368600559,0.2,0.3,0.7,0.1
242,3893231913,5146144539,0,17.12404615031427,0.8,0.3,0.7,0.1
243,3893231913,12461273925,0,15.281727500941598,0.8,0.9,0.1,0.1
244,5146144539,3893231913,0,17.12404615031427,0.8,0.3,0.7,0.1
245,12461273925,3893231912,0,4.138799446700963,0.8,0.9,0.1,0.3
246,12461273925,3893231913,0,15.281727500941598,0.8,0.9,0.1,0.1
247,12461273925,8939668299,0,13.481453618233067,0.2,0.9,0.1,0.3
248,17396682,6281096706,0,4.283981171670719,0.2,0.3,0.7,0.1
249,17396682,366664563,0,29.29927582434395,0.2,0.3,0.7,0.1
250,17396682,12461273918,0,24.909603983484153,0.2,0.4,0.3,0.1
251,6281096706,17396682,0,4.283981171670719,0.2,0.3,0.7,0.1
252,6281096706,6281096705,0,29.616422137774908,0.2,0.9,0.1,0.1
253,6281096706,12023837911,0,36.579645446860155,0.2,0.3,0.7,0.1
254,366664563,5156816332,0,57.0939392716591,0.2,0.6,0.4,0.1
255,366664563,17396682,0,29.29927582434395,0.2,0.3,0.7,0.1
256,366664563,262440826,0,21.96689427468913,0.2,0.3,0.7,0.1
257,12461273918,17396682,0,24.909603983484153,0.2,0.4,0.3,0.1
258,12461273918,1500366483,0,13.236298240427864,0.8,0.4,0.3,0.1
259,12461273918,12461273917,0,2.584883547258289,0.8,0.9,0.1,0.1
260,6281096705,6281096703,0,2.3046274699438793,0.8,0.9,0.1,0.2
261,6281096705,6281096704,0,2.0437748584785416,0.8,0.9,0.1,0.2
262,6281096705,6281096706,0,29.616422137774908,0.2,0.9,0.1,0.1
