u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,geometry,lit,surface,lanes,ref,service,tunnel,access,bridge,junction
6327939494,6327939492,0,72343233,residential,20 mph,Halston Drive,False,False,41.25242210341515,"LINESTRING (-2.5811616 51.4635486, -2.5812192 51.4634904, -2.5814741 51.4632328)",no,asphalt,,,,,,,
6327939494,104812,0,72343233,residential,20 mph,Halston Drive,False,True,55.49085518510246,"LINESTRING (-2.5811616 51.4635486, -2.5809972 51.4637148, -2.5808686 51.4638346, -2.580726 51.4639673)",no,asphalt,,,,,,,
104814,358460226,0,4013287,unclassified,20 mph,Saint Nicholas Road,False,True,54.81433032611129,"LINESTRING (-2.5796921 51.4634456, -2.5803047 51.4637576)",no,asphalt,,,,,,,
21591973,462979246,0,4013287,unclassified,20 mph,Saint Nicholas Road,False,False,54.36514764403247,"LINESTRING (-2.5815125 51.4643714, -2.5809042 51.4640625)",no,asphalt,,,,,,,
21591973,835468062,0,4013287,unclassified,20 mph,Saint Nicholas Road,False,True,7.298544405774302,"LINESTRING (-2.5815125 51.4643714, -2.5815921 51.4644144)",no,asphalt,,,,,,,
2433742262,462979246,0,72343229,footway,,,False,True,41.493795269779206,"LINESTRING (-2.5813233 51.4637959, -2.5809042 51.4640625)",no,asphalt,,,,,,,
2433742262,835468063,0,235292522,footway,,,False,False,5.237001404698587,"LINESTRING (-2.5813233 51.4637959, -2.5813795 51.4638274)",no,asphalt,,,,,,,
2433742262,859323102,0,72343229,footway,,,False,False,24.990624110843957,"LINESTRING (-2.5813233 51.4637959, -2.5814142 51.4637426, -2.5815839 51.4636405)",no,asphalt,,,,,,,
6327939493,6327939494,0,675713052,residential,20 mph,Halston Drive,False,True,9.301526846266007,"LINESTRING (-2.5812571 51.4636074, -2.5811616 51.4635486)",no,asphalt,,,,,,,
6327939492,6327939491,0,675713051,residential,20 mph,Halston Drive,False,False,10.649747593738448,"LINESTRING (-2.5814741 51.4632328, -2.5815855 51.4632988)",no,asphalt,,,,,,,
